class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat
edible,bell,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
edible,sunken,fibrous,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,scattered,grasses
edible,sunken,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
edible,flat,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,scattered,grasses
edible,sunken,smooth,white,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
edible,sunken,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,brown,scattered,grasses
edible,sunken,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
edible,sunken,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,brown,scattered,grasses
edible,sunken,scaly,brown,bruises,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,solitary,woods
edible,flat,smooth,gray,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,scattered,grasses
edible,sunken,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
edible,sunken,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,abundant,grasses
poisonous,flat,scaly,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,urban
edible,flat,smooth,white,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,scattered,grasses
poisonous,flat,smooth,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban
edible,flat,smooth,gray,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,white,one,evanescent,black,scattered,grasses
edible,flat,fibrous,gray,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,brown,scattered,grasses
poisonous,sunken,smooth,white,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
edible,sunken,smooth,gray,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,abundant,grasses
poisonous,sunken,smooth,white,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban
edible,sunken,smooth,gray,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,brown,scattered,grasses
edible,flat,smooth,white,no,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,white,one,evanescent,black,scattered,grasses
poisonous,flat,scaly,white,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,grasses
edible,sunken,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,fibrous,white,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,brown,scattered,grasses
edible,sunken,fibrous,white,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,scaly,red,bruises,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,gray,white,one,pendant,black,solitary,woods
poisonous,flat,smooth,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,urban
edible,flat,fibrous,gray,no,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,black,scattered,grasses
edible,sunken,scaly,yellow,bruises,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,grasses
edible,sunken,fibrous,brown,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
edible,flat,fibrous,brown,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,abundant,grasses
edible,bell,smooth,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
edible,flat,smooth,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,abundant,grasses
edible,flat,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,abundant,grasses
edible,flat,fibrous,brown,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
poisonous,flat,smooth,brown,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban
edible,sunken,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
edible,bell,scaly,yellow,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
edible,flat,smooth,gray,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
edible,flat,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,scattered,grasses
edible,sunken,fibrous,gray,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,abundant,grasses
edible,flat,smooth,gray,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,scattered,grasses
edible,sunken,fibrous,brown,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,fibrous,brown,bruises,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,gray,white,one,pendant,brown,several,woods
edible,bell,scaly,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
edible,sunken,fibrous,gray,bruises,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,white,white,one,pendant,brown,several,woods
poisonous,flat,scaly,brown,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
edible,sunken,smooth,white,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
poisonous,flat,smooth,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,urban
edible,flat,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
edible,flat,fibrous,brown,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,abundant,grasses
edible,flat,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,brown,scattered,grasses
edible,sunken,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
edible,flat,smooth,white,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,smooth,white,no,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,black,scattered,grasses
poisonous,sunken,scaly,brown,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,grasses
edible,flat,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,abundant,grasses
poisonous,flat,scaly,brown,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
edible,flat,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,fibrous,brown,bruises,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,white,white,one,pendant,black,several,woods
edible,sunken,fibrous,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,scattered,grasses
poisonous,flat,smooth,brown,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
edible,flat,smooth,gray,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,scattered,grasses
poisonous,sunken,smooth,white,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
edible,sunken,fibrous,brown,bruises,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,white,one,pendant,brown,several,woods
edible,sunken,fibrous,brown,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,scattered,grasses
edible,sunken,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,scattered,paths
edible,flat,fibrous,white,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,scattered,grasses
edible,flat,smooth,white,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
edible,sunken,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,scattered,grasses
edible,flat,fibrous,gray,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,scattered,grasses
edible,flat,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
edible,sunken,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,scattered,grasses
edible,flat,fibrous,gray,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
edible,sunken,fibrous,gray,bruises,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods
edible,sunken,smooth,gray,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,black,abundant,grasses
edible,flat,smooth,gray,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,black,scattered,grasses
edible,sunken,scaly,brown,bruises,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,scattered,grasses
edible,sunken,scaly,gray,bruises,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,gray,white,one,pendant,black,solitary,woods
edible,flat,smooth,gray,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,abundant,grasses
edible,flat,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,scattered,grasses
edible,flat,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
edible,flat,fibrous,white,no,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,white,one,evanescent,black,scattered,grasses
edible,flat,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,abundant,grasses
edible,flat,smooth,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,scattered,grasses
edible,sunken,fibrous,brown,bruises,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,solitary,woods
edible,sunken,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,brown,scattered,grasses
edible,sunken,fibrous,brown,no,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,black,abundant,grasses
edible,flat,smooth,white,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
edible,sunken,fibrous,brown,no,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,solitary,urban
poisonous,flat,smooth,white,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,urban
poisonous,flat,smooth,brown,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,grasses
edible,sunken,fibrous,brown,bruises,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,gray,white,one,pendant,black,several,woods
edible,sunken,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,abundant,grasses
edible,flat,fibrous,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
edible,sunken,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,scattered,grasses
edible,sunken,fibrous,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,brown,scattered,grasses
edible,sunken,smooth,gray,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,white,one,evanescent,black,scattered,grasses
edible,flat,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,abundant,grasses
edible,flat,smooth,brown,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,scattered,grasses
edible,flat,smooth,gray,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,fibrous,red,bruises,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,pink,white,one,pendant,black,several,woods
poisonous,flat,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
edible,sunken,fibrous,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,scattered,grasses
edible,sunken,fibrous,brown,bruises,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,gray,white,one,pendant,brown,several,woods
poisonous,flat,smooth,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban
poisonous,flat,smooth,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,grasses
poisonous,flat,smooth,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,urban
edible,flat,fibrous,white,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
edible,flat,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,scattered,grasses
edible,flat,fibrous,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,abundant,grasses
edible,flat,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,abundant,grasses
poisonous,flat,smooth,white,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,grasses
poisonous,flat,smooth,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,grasses
edible,flat,smooth,gray,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
edible,sunken,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,brown,scattered,grasses
edible,sunken,fibrous,brown,bruises,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,gray,white,one,pendant,black,several,woods
edible,sunken,fibrous,brown,bruises,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,white,white,one,pendant,brown,several,woods
edible,flat,fibrous,white,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,black,abundant,grasses
edible,flat,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,scattered,grasses
edible,sunken,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,smooth,yellow,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
edible,flat,smooth,gray,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
edible,sunken,smooth,white,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,scattered,grasses
edible,sunken,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,scattered,grasses
edible,sunken,fibrous,brown,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,abundant,grasses
edible,sunken,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,scattered,grasses
edible,sunken,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,scattered,grasses
edible,sunken,smooth,gray,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,scattered,grasses
edible,sunken,smooth,gray,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,scattered,grasses
edible,flat,smooth,white,no,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,scattered,grasses
edible,sunken,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,abundant,grasses
edible,flat,fibrous,gray,no,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,scattered,grasses
edible,flat,fibrous,white,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,white,one,evanescent,black,scattered,grasses
edible,sunken,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
edible,flat,fibrous,gray,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,black,scattered,grasses
edible,sunken,fibrous,gray,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
edible,sunken,smooth,yellow,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
edible,sunken,smooth,white,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,abundant,grasses
poisonous,sunken,scaly,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
edible,sunken,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,scattered,grasses
poisonous,sunken,smooth,white,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,urban
edible,sunken,scaly,gray,bruises,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,gray,white,one,pendant,brown,several,woods
poisonous,flat,smooth,white,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,urban
edible,sunken,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
edible,sunken,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
edible,flat,scaly,brown,bruises,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,paths
edible,sunken,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,scattered,grasses
edible,flat,smooth,brown,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,black,scattered,grasses
edible,sunken,smooth,gray,no,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,black,abundant,grasses
edible,flat,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,brown,scattered,grasses
edible,flat,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,smooth,gray,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,scattered,grasses
edible,bell,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
edible,sunken,smooth,gray,no,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,white,one,evanescent,black,scattered,grasses
edible,sunken,smooth,yellow,bruises,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
poisonous,flat,scaly,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,grasses
edible,flat,smooth,white,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,scattered,grasses
edible,flat,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,scattered,grasses
edible,flat,smooth,gray,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,scattered,grasses
edible,flat,fibrous,gray,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,scattered,grasses
edible,sunken,scaly,brown,bruises,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,white,white,one,pendant,brown,solitary,woods
edible,sunken,fibrous,brown,bruises,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,gray,white,one,pendant,black,solitary,woods
edible,sunken,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,paths
edible,sunken,fibrous,gray,bruises,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,pink,white,one,pendant,black,solitary,woods
edible,flat,fibrous,gray,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
edible,flat,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,black,scattered,grasses
edible,flat,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
edible,sunken,fibrous,gray,no,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,abundant,grasses
edible,flat,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,scattered,grasses
edible,flat,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,abundant,grasses
edible,sunken,fibrous,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
edible,sunken,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
edible,sunken,fibrous,brown,bruises,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,gray,white,one,pendant,black,solitary,woods
edible,flat,smooth,white,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,scattered,grasses
edible,flat,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,black,scattered,grasses
poisonous,flat,scaly,brown,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
edible,sunken,fibrous,brown,bruises,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,white,white,one,pendant,black,solitary,woods
edible,sunken,fibrous,brown,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,scattered,grasses
edible,flat,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,scattered,grasses
poisonous,flat,scaly,brown,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
edible,flat,fibrous,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,one,evanescent,black,scattered,grasses
edible,sunken,fibrous,gray,bruises,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,black,several,woods
edible,sunken,fibrous,white,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,fibrous,gray,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,scattered,grasses
edible,sunken,fibrous,brown,bruises,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,pink,white,one,pendant,brown,several,woods
edible,sunken,smooth,gray,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
edible,flat,fibrous,white,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
edible,sunken,fibrous,gray,bruises,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,pink,white,one,pendant,black,solitary,woods
edible,sunken,scaly,white,bruises,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
